Payer ID,Payer Name,Institutional Claims,Professional Claims,Dental Claims,ERA,Eligibility,Attachments,Workers Comp,Secondary Support,Payer Type,Payer State
MRCHP,Allcare Advantage,yes,yes,no,enrollment,no,no,no,,commercial,
MRIPA,Allcare Health Plan,yes,yes,no,enrollment,no,no,no,yes,medicaid,OR
AC101,AllCare IPA,no,yes,no,enrollment,no,no,no,no,commercial,
81040,"Allegiance Benefit Plan Management, Inc.",yes,yes,no,enrollment,yes,no,no,yes,commercial,
J1740,Allen Canning,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2341,"Allergan W.C. Holding, INC.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
23071,Alliance Behavioral Health,enrollment,enrollment,no,enrollment,no,no,no,yes,,NC
93658,Alliance Coal Health Plan,yes,yes,no,enrollment,no,no,no,yes,commercial,
22417,Alliance Physicians High Desert,yes,yes,no,enrollment,no,no,no,no,commercial,
J1619,Alliant Energy,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
58234,Alliant Health Plans of Georgia,yes,yes,no,enrollment,no,no,no,no,commercial,GA
37308,Allied Benefit Systems,yes,yes,no,enrollment,yes,no,no,yes,commercial,
J1733,"Allied Claims Administration, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1550,Allied Insurance Companies,yes,yes,no,enrollment,no,yes,yes,,workerscomp,
54398,ALLINA HEALTH AETNA,yes,yes,no,enrollment,yes,no,no,,commercial,
J1589,Allmerica Financial Benefits Insurance Company,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
C1037,Allstate - EXCEPT NEW JERSEY,yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,
C1089,Allstate - NJ Only,no,yes,no,no,no,yes,yes,yes,workerscomp,
ALOHA,AlohaCare,enrollment,enrollment,no,enrollment,no,no,no,yes,commercial,
SYMED,Alpha Care Medical Group,yes,yes,no,no,no,no,no,no,commercial,CA
NMM04,Alpha Care Medical Group NMM,yes,yes,no,enrollment,no,no,no,,commercial,CA
TH085,Alpha Data,no,yes,no,no,no,no,no,no,commercial,
A0701,Alta Bates Medical Group,yes,yes,no,no,no,no,no,no,commercial,
ALTAM,AltaMed,yes,yes,no,enrollment,no,no,no,,,
J2149,Alternative Service Concepts (ASC),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
RP016,Alterwood Advantage,yes,yes,no,no,no,no,no,yes,commercial,
J1025,Alvey Systems (AON Risk),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ERA12,AMA Insurance,no,no,no,enrollment,no,no,no,,commercial,
AMDA1,Amada Health,yes,yes,no,enrollment,no,no,no,,commercial,
13343,Amalgamated Life PA Alicare,yes,yes,no,enrollment,no,no,no,yes,commercial,
75137,AmeriBen Solutions Inc,yes,yes,no,enrollment,yes,no,no,yes,commercial,
J1427,America First Insurance,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
27517,Americaid Community Care Marylan,yes,yes,no,enrollment,no,no,no,yes,commercial,
J2000,American Airlines - DOI after 9/1/2014 ONLY,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2189,"American Apparel, LLC  (DOI after 7/14/16)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
63103,American Behavioral,yes,yes,no,no,no,no,no,yes,commercial,
J1236,American Claims Management (ACM)/           Everest National,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1026,"American Coin Merchandising, Inc",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1249,American Country,no,yes,no,no,no,yes,yes,no,workerscomp,
J1027,American Cyanamid,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
TH095,American Family Insurance,yes,yes,no,no,no,no,no,yes,commercial,
ERA05,American Family Life Assurance - AFLAC ,no,no,no,enrollment,no,no,no,,,
C1055,American Family Mutual Insurance Company,yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,
J2134,American Family Mutual Insurance Company (WC ONLY),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
56071,American Family PPO Policies Administered by Am Rep,yes,yes,no,enrollment,no,no,no,no,commercial,
60801,American Fidelity Assurance Company,yes,yes,no,no,no,no,no,no,commercial,
24074,American Fire and Casualty,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
62030,American General,yes,yes,no,enrollment,no,no,no,yes,commercial,
31150,American Health Advantage of FL,yes,yes,no,no,no,no,no,yes,commercial,FL
31145,American Health Advantage of Idaho & Utah,yes,yes,no,enrollment,no,no,no,yes,commercial,
MMS01,American Health Advantage of MO,yes,yes,no,enrollment,no,no,no,,commercial,MO
31135,American Health Advantage of MS,yes,yes,no,enrollment,no,no,no,,commercial,MS
31125,American Health Advantage of OK,yes,yes,no,enrollment,no,no,no,,commercial,OK
31130,American Health Advantage of TN,yes,yes,no,enrollment,no,no,no,,commercial,TN
31155,American Health Advantage of TX,yes,yes,no,enrollment,no,no,no,,commercial,
AHR01,American Health Resources,enrollment,enrollment,no,no,no,no,no,yes,commercial,
1066,American Healthcare Alliance,yes,yes,no,no,no,no,no,no,commercial,
J1250,American Home Craft,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
72099,American LIFECARE,yes,yes,no,no,no,no,no,yes,commercial,
23212,American Medical and Life Insurance,yes,yes,no,no,no,no,no,yes,commercial,
J2295,American National,yes,yes,no,no,no,yes,yes,no,workerscomp,
74048,American National Ins Co ANICO,yes,yes,no,enrollment,yes,no,no,yes,commercial,
44444,American Postal Workers Union He,yes,yes,no,enrollment,no,no,no,yes,commercial,
48055,American Progressive Life and Health,no,no,no,enrollment,yes,no,no,yes,commercial,
42011,American Republic Insurance,yes,yes,no,enrollment,no,no,no,no,commercial,
J1028,American Specialty Companies,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ASH01,American Specialty Health,no,yes,no,enrollment,no,no,no,yes,commercial,
J1029,American Specialty Ins. / MIB,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ATHAL,American Therapy Administrators,yes,yes,no,no,no,no,no,yes,commercial,
TH117,American Whole Health Networks,no,yes,no,no,no,no,no,yes,commercial,
37322,American Worker Health Plan,yes,yes,no,enrollment,no,no,no,yes,commercial,
20029,Americas Choice,yes,yes,no,enrollment,no,no,no,no,commercial,
AHP01,Americas Health Plan,yes,yes,no,enrollment,no,no,no,,commercial,
41178,Americas PPOAmericas TPA,yes,yes,no,enrollment,no,no,no,yes,commercial,
86047,"AmeriChoice NJ, Medicaid, NJ Family Care",yes,yes,no,enrollment,yes,no,no,yes,commercial,NJ
ISA01,Americo (Medicare Supplement),no,no,no,enrollment,no,no,no,,medicare,
26375,"Amerigroup DC,GA & NM",yes,yes,no,enrollment,yes,yes,no,yes,commercial,"DC,GA,NM"
54763,AmeriHealth Administrators,yes,yes,no,enrollment,yes,no,no,yes,commercial,
77799,AmeriHealth Caritas Delaware,yes,yes,no,enrollment,yes,no,no,yes,commercial,DE
77002,AmeriHealth Caritas District of Columbia,yes,yes,no,enrollment,no,no,no,yes,commercial,
77003,AmeriHealth Caritas Florida,yes,yes,no,enrollment,yes,no,no,yes,commercial,
87716,Amerihealth Caritas Healthplan New Hampshire,yes,yes,no,enrollment,no,no,no,yes,commercial,
27357,AmeriHealth Caritas Louisiana,yes,yes,no,enrollment,yes,no,no,yes,commercial,
83148,Amerihealth Caritas Next - North Carolina,yes,yes,no,enrollment,no,no,no,yes,commercial,
47073,"AmeriHealth Caritas Next A Product of AmeriHealth Caritas VIP Next, Inc.",yes,yes,no,enrollment,no,no,no,yes,commercial,
45408,AmeriHealth Caritas Next Florida,yes,yes,no,enrollment,no,no,no,,commercial,
81671,Amerihealth Caritas North Carolina,yes,yes,no,enrollment,no,no,no,yes,commercial,NC
35374,AMERIHEALTH CARITAS OHIO ,yes,yes,no,enrollment,no,no,no,yes,medicaid,OH
42435,AMERIHEALTH CARITAS OHIO - TRANSPORTATION ONLY,no,yes,no,enrollment,no,no,no,,medicaid,OH
77062,AmeriHealth Caritas PA Community HealthChoices,yes,yes,no,enrollment,no,no,no,yes,commercial,
22248,AmeriHealth Caritas Pennsylvania,yes,yes,no,enrollment,yes,no,no,yes,commercial,
87406,AmeriHealth Caritas VIP Care - Delaware DSNP,yes,yes,no,no,no,no,no,,,
88232,AMERIHEALTH CARITAS VIP CARE - FLORIDA DSNP,yes,yes,no,enrollment,no,no,no,,,
77013,AmeriHealth Caritas VIP Care Plus (Michigan),yes,yes,no,no,no,no,no,yes,commercial,MI
77009,Amerihealth First Choice VIP Care Plus SC,yes,yes,no,no,no,no,no,yes,commercial,
23037,AmeriHealth HMO New Jersey and Delaware,yes,yes,no,enrollment,yes,no,no,yes,commercial,NJ
SX075,AmeriHealth New Jersey (Non-HMO),yes,yes,no,enrollment,yes,no,no,yes,bcbs,PA
77001,AmeriHealth NorthEast,yes,yes,no,enrollment,no,no,no,yes,commercial,
12504,Ameriprise Auto & Home Insurance ,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1447,Amerisafe,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1206,Amerisure Insurance,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1205,Amerisure Mutual Insurance,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
47009,Ameritas Life Insurance Corp,no,no,no,enrollment,yes,no,no,no,commercial,
64090,AmFirst Insurance Company,yes,yes,no,enrollment,no,no,no,yes,commercial,
12287,Amica Mutual Insurance Company,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ERA32,Amplifon Hearing Health Care,no,no,no,enrollment,no,no,no,,commercial,
J1868,"Amtrust North America - CA, IL, LA, MN, NJ, NY, OR, TX, WI",yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,
53085,Anchor Benefit Consulting Inc,yes,yes,no,no,no,no,no,yes,commercial,
J2136,Anchor Glass Container Corporation,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ECMSO,Angel Medical Group,yes,yes,no,no,no,no,no,yes,commercial,CA
39856,Angle insurance Company of Utah,yes,yes,no,no,no,no,no,,commercial,
J1620,Anheuser Busch,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2185,Antelope Valley Union High School District,no,no,no,enrollment,no,yes,yes,no,workerscomp,
J2197,Antelope Vally Community Hospital,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
TELUS,Anthem - Tellus EVV,no,enrollment,no,enrollment,no,no,no,,commercial,VA
V0029,ANTHEM EYEMED - OH MEDICAID,yes,yes,no,enrollment,no,no,no,yes,medicaid,OH
958,Anthem Maine Health,yes,yes,no,enrollment,yes,yes,no,yes,,ME
A0029,ANTHEM OHIO MEDICAID,yes,yes,no,enrollment,yes,no,no,yes,medicaid,OH
34196,Apex Benefit Services,yes,yes,no,no,no,no,no,yes,commercial,
APP01,AppleCare Medical Management,no,yes,yes,enrollment,no,no,no,no,commercial,
J2160,Applied Materials,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1775,Applied Underwriters,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ARKBS,AR BCBS,yes,yes,no,enrollment,yes,no,no,yes,bcbs,AR
12023,AR Medicaid,enrollment,enrollment,no,enrollment,yes,no,no,yes,medicaid,AR
ARLTC,AR Medicaid LTC,yes,yes,no,enrollment,no,no,no,,medicaid,
7101,AR Medicare Part A,enrollment,no,no,enrollment,yes,yes,no,yes,medicare,AR
7102,AR Medicare Part B,no,enrollment,no,enrollment,yes,yes,no,yes,medicare,AR
J1502,Aramark (Bunch CareSolutions),no,no,no,enrollment,no,yes,yes,no,workerscomp,
16120,ARAZ,yes,yes,no,no,no,no,no,yes,commercial,
37105,Arcadia Healthcare Solutions,yes,yes,no,enrollment,no,no,no,no,commercial,
36364,Arcadia Healthcare Solutions - NPA,yes,yes,no,no,no,no,no,yes,commercial,
J1735,Archer Daniels Midland Company,no,no,no,enrollment,no,yes,yes,no,workerscomp,
J2344,Ardagh Group,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1944,"Areas USA, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1420,Argent (Subsidiary of West Bend but this route is Argent only),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
19801,Argonaut Claims Services,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ARGUS,Argus Dental Plans,yes,yes,no,no,no,no,no,no,commercial,
39185,Arise Health Plan,no,yes,no,enrollment,yes,no,no,yes,commercial,
27154,Arizona Priority Care Plus,yes,yes,no,enrollment,no,no,no,no,commercial,AZ
J2142,Arkansas Best,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
61184,Arkansas Superior Select,yes,yes,no,no,no,no,no,yes,commercial,AR
63240,"ARM, Ltd",yes,yes,no,enrollment,no,no,no,yes,commercial,
J2245,Armour Risk,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1564,Arrowpoint,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
6603,ASA GEHA,yes,yes,no,enrollment,yes,no,no,yes,commercial,
AAMG1,Asian American Medical Group,yes,yes,no,enrollment,no,no,no,yes,commercial,
46156,Aspire Health Plan,yes,yes,no,enrollment,no,no,no,yes,commercial,
36483,Aspirus Medicare Advantage,yes,yes,no,no,no,no,no,,commercial,
38265,ASR,yes,yes,no,enrollment,no,no,no,yes,commercial,
ASRM1,ASRM CORP (NJ),yes,yes,no,enrollment,no,no,no,yes,commercial,
MPM44,Associated Hispanic Physicians of Southern California,yes,yes,no,enrollment,no,no,no,yes,commercial,CA
J2268,Associated Industries Of Massachusetts,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
36326,"Associates for Health Care, Inc. (AHC)",yes,yes,no,no,no,no,no,yes,commercial,
J1254,Association Casualty Insurance Company,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1869,Association County Commissioners of Georgia (ACCG),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2230,Association Of Ca Water Agencies JPA,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
C1034,Assurance Company of America (Commercial Only),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
75068,Assurant Health Self Funded,yes,yes,no,enrollment,no,no,no,yes,commercial,
37323,Assurant MiniMedKey Family,yes,yes,no,enrollment,no,no,no,yes,commercial,
74240,Assured Benefits Administrators,yes,yes,no,enrollment,no,no,no,yes,commercial,
84320,Astiva Health,yes,yes,no,no,no,no,no,,commercial,
88875,Astiva Health Encounters,yes,yes,no,no,no,no,no,,commercial,
ERA46,ASU Group,no,no,no,enrollment,no,no,no,,,
93221,Asuris Northwest Health,yes,yes,no,enrollment,yes,no,no,yes,commercial,
J2096,"Athens - ABF Freight Systems, Inc",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2098,"Athens - American Apparel, Inc (DOI prior to 7/14/16)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2099,Athens - American Brass & Iron Foundry,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2100,Athens - Angelus Block,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2249,Athens - Bal Seal Engineering,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2101,Athens - Bay Area Housing Authority Risk Management,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2240,Athens - Bridgepoint Educational,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2102,Athens - Central County Fire Department,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2103,Athens - Children's Hospital Los Angeles,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2104,Athens - City of Beverly Hills,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2105,Athens - City of Mountain View,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2106,Athens - City of San Jose,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2107,Athens - City of Vernon,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2218,Athens - Community Hospital Of Monterey Peninsula,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2108,Athens - County of Solano,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2241,Athens - Diocese Of San Jose,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2109,Athens - East Bay Municipal Utility District,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2110,Athens - East Bay Regional Parks District,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
