"Payer ID","Payer Name","Institutional Claims","Professional Claims","Dental Claims",ERA,Eligibility,Attachments,"Workers Comp","Secondary Support","Payer Type","Payer State","Eligibility Category"
95340,"Adventist Health System West-Roseville, CA",yes,yes,no,enrollment,no,no,no,yes,commercial,,
CB159,"ADVISORY HEALTH ADMINISTRATORS",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J1896,"Advocare MCO, Inc",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J3985,"Advocate - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
36320,"Advocate Health Centers",yes,yes,no,enrollment,no,no,no,yes,commercial,,
65093,"Advocate Physician Partners",yes,yes,no,enrollment,no,no,no,yes,commercial,,
CB637,"Aegis Administrative Services",yes,yes,no,no,no,no,no,no,commercial,,
60054,Aetna,yes,yes,no,enrollment,yes,yes,no,yes,commercial,,Prime
26337,"Aetna Better Health IL -  Premier Plan MMAI",yes,yes,no,enrollment,yes,no,no,yes,medicaid,IL,Prime
128FL,"Aetna Better Health of Florida",yes,yes,no,enrollment,yes,no,no,yes,commercial,FL,Prime
68024,"Aetna Better Health of Illinois/ IlliniCare",yes,yes,no,enrollment,yes,no,no,yes,medicaid,IL,Prime
128KS,"Aetna Better Health of Kansas",yes,yes,no,enrollment,yes,no,no,yes,medicaid,KS,Prime
128KY,"Aetna Better Health of Kentucky",yes,yes,no,enrollment,yes,no,no,yes,commercial,KY,Prime
128LA,"Aetna Better Health of Louisiana",yes,yes,no,enrollment,yes,no,no,yes,medicaid,LA,Prime
128MD,"Aetna Better Health of Maryland",yes,yes,no,enrollment,yes,no,no,yes,commercial,MD,Prime
128MI,"Aetna Better Health of Michigan",yes,yes,no,enrollment,yes,no,no,yes,commercial,MI,Prime
46320,"Aetna Better Health of New Jersey",yes,yes,no,enrollment,yes,yes,no,yes,medicaid,NJ,Prime
34734,"Aetna Better Health of New York",yes,yes,no,enrollment,yes,yes,no,yes,commercial,NY,Prime
50023,"Aetna Better Health of Ohio",yes,yes,no,enrollment,yes,no,no,yes,medicaid,OH,Prime
128OK,"Aetna Better Health of Oklahoma",yes,yes,no,enrollment,yes,yes,no,yes,commercial,,Prime
128VA,"Aetna Better Health of Virginia",yes,yes,no,enrollment,yes,no,no,yes,medicaid,VA,Prime
128WV,"Aetna Better Health of West Virginia",yes,yes,no,enrollment,yes,no,no,yes,,WV,Prime
23228,"Aetna Better Health Pennsylvania",yes,yes,no,enrollment,yes,no,no,yes,medicaid,PA,Prime
ERA50,"Aetna RTS Unit",no,no,no,enrollment,no,no,no,,,,
62118,"Aetna Senior Supplemental Insurance (Aetna SSI)",no,no,no,enrollment,no,no,no,,commercial,,
38692,"Aetna TX Medicaid CHIP",yes,yes,no,enrollment,yes,no,no,yes,medicaid,TX,Prime
J2279,"AF Specialty Assigned Soltions",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
ADOCS,"Affiliated Doctors of Orange County",yes,yes,no,no,no,no,no,no,commercial,CA,
J1977,"Affiliated Foods, Inc.",no,no,no,enrollment,no,yes,yes,no,workerscomp,,
POP09,"Affiliated Partners IPA",no,yes,no,no,no,no,no,,commercial,CA,
46594,"AFFINITY MEDICAL GROUP",yes,yes,no,no,no,no,no,yes,commercial,,
37280,AGA,yes,yes,no,enrollment,no,no,no,yes,commercial,,
64158,"Agency Services Inc",no,no,no,enrollment,no,no,no,yes,commercial,,
ARA01,"AgeRight Advantage",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
AWNY6,"Agewell New York",yes,yes,no,no,no,no,no,yes,commercial,,
J4224,"AGI Group Holdings, L.P. - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4462,"Agri Beef Co - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
MPM38,"AHP Provider Network",no,yes,no,no,no,no,no,,commercial,CA,
J3958,"AHRMA (IL only) - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
91026,"AHS Plans",yes,yes,no,no,no,no,no,yes,,,
95422,"AIDS Healthcare Foundation",yes,yes,no,enrollment,no,no,no,,commercial,,
19402,AIG,yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,,
C1104,"AIG Private Client Group",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1516,"Air Liquide USA LLC",no,no,no,enrollment,no,yes,yes,no,workerscomp,,
64884,"Aither Health",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J3996,"AIX Specialty InsCo",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
AKMCD,"AK Medicaid",enrollment,enrollment,no,enrollment,yes,no,no,yes,medicaid,AK,Prime
00831,"AK Medicare Part B",no,enrollment,no,enrollment,enrollment,yes,no,yes,medicare,AK,Prime
02001,"AK/OR/ID/WA Medicare Part A",enrollment,no,no,enrollment,enrollment,yes,no,yes,medicare,,Prime
CAPMN,"AKM Medical Group",yes,yes,no,enrollment,no,no,no,yes,commercial,,
00510,"AL BCBS",yes,yes,no,enrollment,yes,no,no,yes,bcbs,AL,Prime
ALMCD,"AL Medicaid",yes,yes,no,enrollment,yes,no,no,yes,medicaid,AL,Prime
10111,"AL Medicare Part A",enrollment,no,no,enrollment,enrollment,yes,no,yes,medicare,AL,Prime
10112,"AL Medicare Part B",no,enrollment,no,enrollment,enrollment,yes,no,yes,medicare,AL,Prime
J4160,"Alamance County (NC) - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
95327,"Alameda Alliance for Health",enrollment,enrollment,no,enrollment,no,no,no,yes,commercial,,
J4576,"Alameda-Contra Costa Transit District",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J3859,"Alarm Contractors",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
91136,"Alaska Childrens Services Inc",yes,yes,no,no,no,no,no,yes,commercial,AK,
J1577,"Alaska National Insurance",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4097,"Albany City School District (NY) - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
85600,"Albuquerque Public Schools (APS)",yes,yes,no,enrollment,yes,no,no,,commercial,,Prime
J1244,"Alcoa Fasteners Systems",no,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2166,"Alex Lee, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
13550,ALICARE,yes,yes,no,enrollment,no,no,no,yes,commercial,,
J1716,"Align Networks",yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,,
ASCA1,"Align Senior Care (CA)",yes,yes,no,enrollment,yes,no,no,no,commercial,,Prime
ASFL1,"Align Senior Care (FL)",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
ASMI1,"Align Senior Care (MI)",yes,yes,no,enrollment,yes,no,no,yes,commercial,MI,Prime
ASVA1,"Align Senior Care (VA)",yes,yes,no,enrollment,no,no,no,,commercial,VA,
AHCA1,"Alignment Health Care (Fee For Service)",yes,yes,no,enrollment,no,no,no,yes,,,
ALIVI,"Alivi Health",no,yes,no,no,no,no,no,,,,
ATNET,"ALIVI THERAPY NETWORK",no,yes,no,no,no,no,no,yes,commercial,,
ALLCA,"All Care Medical Group",yes,yes,no,enrollment,no,no,no,yes,commercial,,
81400,"All Savers Insurance/UnitedHealthcare",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
AUMG1,"All United Medical Group",yes,yes,no,enrollment,no,no,no,,commercial,,
MRCHP,"Allcare Advantage",yes,yes,no,enrollment,no,no,no,yes,commercial,,
MRIPA,"Allcare Health Plan",yes,yes,no,enrollment,no,no,no,yes,medicaid,OR,
AC101,"AllCare IPA",no,yes,no,no,no,no,no,no,commercial,,
52193,Allegeant,yes,yes,no,enrollment,no,no,no,yes,commercial,,
81040,"Allegiance Benefit Plan Management, Inc.",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
J1740,"Allen Canning",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2341,"Allergan W.C. Holding, INC.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
23071,"Alliance Behavioral Health",enrollment,enrollment,no,enrollment,no,no,no,yes,,NC,
93658,"Alliance Coal Health Plan",yes,yes,no,enrollment,no,no,no,yes,commercial,,
22417,"Alliance Physicians High Desert",yes,yes,no,enrollment,no,no,no,no,commercial,,
J1619,"Alliant Energy",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
58234,"Alliant Health Plans of Georgia",yes,yes,no,enrollment,yes,no,no,no,commercial,GA,Prime
J2326,"Allianz Resolution Management (ARM) - dates of injury on or before 12/31/2012",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
37308,"Allied Benefit Systems",yes,yes,no,enrollment,yes,no,no,yes,commercial,,"Non Prime"
J1733,"Allied Claims Administration, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4271,"Allied Eastern Indemnity",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1550,"Allied Insurance Companies",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4433,"Allied Managed Care (Except HI)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
54398,"ALLINA HEALTH AETNA",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
J1589,"Allmerica Financial Benefits Insurance Company",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
C1037,"Allstate - EXCEPT NEW JERSEY",yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,,
C1089,"Allstate - NJ Only",no,yes,no,no,no,yes,yes,yes,workerscomp,,
ALOHA,AlohaCare,no,enrollment,no,enrollment,no,no,no,yes,commercial,,
NMM04,"Alpha Care Medical Group NMM",yes,yes,no,enrollment,no,no,no,yes,commercial,CA,
A0701,"Alta Bates Medical Group",yes,yes,no,no,no,no,no,no,commercial,,
ALTAM,AltaMed,yes,yes,no,enrollment,no,no,no,,,,
J2422,"AltaMed Health Services Corporation - WC",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2149,"Alternative Service Concepts (ASC)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4362,"Alterra Mountain Co - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
RP016,"Alterwood Advantage",yes,yes,no,no,no,no,no,yes,commercial,,
J4117,"Aluminum Precision Products - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1025,"Alvey Systems (AON Risk)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
ERA12,"AMA Insurance",no,no,no,enrollment,no,no,no,,commercial,,
AMDA1,"Amada Health",yes,yes,no,enrollment,no,no,no,,commercial,,
13343,"Amalgamated Life PA Alicare",no,no,no,enrollment,no,no,no,yes,commercial,,
J4306,"Ameren (IL & MO only)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
75137,"AmeriBen Solutions Inc",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J1427,"America First Insurance",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2000,"American Airlines - DOI after 9/1/2014 ONLY",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4030,"American Alternative Insurance Corporation",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2189,"American Apparel, LLC  (DOI after 7/14/16)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4263,"American Casualty",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1236,"American Claims Management (ACM)/           Everest National",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1026,"American Coin Merchandising, Inc",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1027,"American Cyanamid",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4031,"American Family Home Insurance Company",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
TH095,"American Family Insurance",yes,yes,no,no,no,no,no,yes,commercial,,
ERA05,"American Family Life Assurance - AFLAC ",no,no,no,enrollment,no,no,no,yes,,,
A2431,"American Family Mutual Insurance Co SI - Auto",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2431,"American Family Mutual Insurance Co SI - WC",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
C1055,"American Family Mutual Insurance Company",yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,,
J2134,"American Family Mutual Insurance Company (WC ONLY)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
56071,"American Family PPO Policies Administered by Am Rep",yes,yes,no,enrollment,no,no,no,no,commercial,,
60801,"American Fidelity Assurance Company",yes,yes,no,no,no,no,no,no,commercial,,
24074,"American Fire and Casualty",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4118,"American Furniture Warehouse",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
62030,"American General",yes,yes,no,no,no,no,no,yes,commercial,,
31150,"AMERICAN HEALTH ADVANTAGE FLORIDA",yes,yes,no,enrollment,no,no,no,yes,commercial,FL,
31145,"American Health Advantage of Idaho & Utah",yes,yes,no,enrollment,no,no,no,yes,commercial,,
RP088,"AMERICAN HEALTH ADVANTAGE OF LOUISIANA",yes,yes,no,no,no,no,no,,commercial,,
MMS01,"American Health Advantage of MO",yes,yes,no,enrollment,no,no,no,,commercial,MO,
31135,"American Health Advantage of MS",yes,yes,no,enrollment,no,no,no,,commercial,MS,
31125,"American Health Advantage of OK",yes,yes,no,enrollment,no,no,no,yes,commercial,OK,
31130,"American Health Advantage of TN",yes,yes,no,enrollment,no,no,no,,commercial,TN,
31155,"American Health Advantage of TX",yes,yes,no,enrollment,no,no,no,yes,commercial,,
AHR01,"American Health Resources",yes,yes,no,no,no,no,no,yes,commercial,,
01066,"American Healthcare Alliance",yes,yes,no,no,no,no,no,no,commercial,,
J1250,"American Home Craft",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
26119,"American Insurance Administrators AIA",no,no,no,enrollment,no,no,no,no,medicare,,
J4021,"American Millennium",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4032,"American Modern Home Insurance Company",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2295,"American National",yes,yes,no,no,no,yes,yes,no,workerscomp,,
74048,"American National Ins Co ANICO",yes,yes,no,enrollment,no,no,no,no,commercial,,
ISA22,"American National Insurance Company",no,no,no,enrollment,no,no,no,,,,
44444,"American Postal Workers Union He",no,no,no,enrollment,no,no,no,yes,commercial,,
48055,"American Progressive Life and Health",no,no,no,enrollment,no,no,no,yes,commercial,,
42011,"American Republic Insurance",yes,yes,no,enrollment,no,no,no,no,commercial,,
J4135,"American Safety Casualty Insurance Company",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J3317,"American Select",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1028,"American Specialty Companies",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
ASH01,"American Specialty Health",no,yes,no,enrollment,no,no,no,yes,commercial,,
J1029,"American Specialty Ins. / MIB",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
ATHAL,"American Therapy Administrators",yes,yes,no,no,no,no,no,yes,commercial,,
AWHCS,"American West Health Care Solution",yes,yes,no,no,no,no,no,,commercial,,
37322,"American Worker Health Plan",yes,yes,no,enrollment,no,no,no,yes,commercial,,
20029,"Americas Choice",yes,yes,no,enrollment,no,no,no,no,commercial,,
41178,"Americas PPOAmericas TPA",yes,yes,no,enrollment,no,no,no,yes,commercial,,
ISA01,"Americo (Medicare Supplement)",no,no,no,enrollment,no,no,no,,medicare,,
26375,AMERIGROUP,yes,yes,no,enrollment,yes,yes,no,yes,commercial,"DC,GA,NM",Prime
54763,"AmeriHealth Administrators",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
5476E,"AmeriHealth Administrators - ERA Only",no,no,no,enrollment,no,no,no,,,,
77799,"AmeriHealth Caritas Delaware",yes,yes,no,enrollment,yes,yes,no,yes,commercial,DE,Prime
77002,"AmeriHealth Caritas District of Columbia",yes,yes,no,enrollment,yes,yes,no,yes,commercial,,Prime
77003,"AmeriHealth Caritas Florida",yes,yes,no,enrollment,yes,yes,no,yes,commercial,,Prime
87716,"Amerihealth Caritas Healthplan New Hampshire",yes,yes,no,enrollment,yes,yes,no,yes,commercial,,Prime
27357,"AmeriHealth Caritas Louisiana",yes,yes,no,enrollment,yes,yes,no,yes,commercial,,Prime
83148,"Amerihealth Caritas Next - North Carolina",yes,yes,no,enrollment,yes,yes,no,yes,commercial,,Prime
47073,"AmeriHealth Caritas Next A Product of AmeriHealth Caritas VIP Next, Inc.",yes,yes,no,enrollment,no,yes,no,yes,commercial,,
45408,"AmeriHealth Caritas Next Florida",yes,yes,no,enrollment,yes,yes,no,yes,commercial,,"Non Prime"
81671,"Amerihealth Caritas North Carolina",yes,yes,no,enrollment,yes,yes,no,yes,commercial,NC,Prime
35374,"AMERIHEALTH CARITAS OHIO",yes,yes,no,enrollment,yes,no,no,yes,medicaid,OH,Prime
42435,"AMERIHEALTH CARITAS OHIO - TRANSPORTATION ONLY",no,yes,no,enrollment,no,no,no,,medicaid,OH,
77062,"AmeriHealth Caritas PA Community HealthChoices",yes,yes,no,enrollment,no,yes,no,yes,commercial,,
22248,"AmeriHealth Caritas Pennsylvania",yes,yes,no,enrollment,yes,yes,no,yes,commercial,,"Non Prime"
87406,"AmeriHealth Caritas VIP Care - Delaware DSNP",yes,yes,no,enrollment,yes,yes,no,,,,Prime
88232,"AMERIHEALTH CARITAS VIP CARE - FLORIDA DSNP",yes,yes,no,enrollment,no,no,no,,,,
77013,"AmeriHealth Caritas VIP Care Plus (Michigan)",yes,yes,no,enrollment,yes,yes,no,yes,commercial,MI,Prime
77009,"Amerihealth First Choice VIP Care Plus SC",yes,yes,no,enrollment,no,yes,no,yes,commercial,,
23037,"AmeriHealth HMO New Jersey and Delaware",yes,yes,no,enrollment,yes,no,no,yes,commercial,NJ,Prime
SX075,"AmeriHealth New Jersey (Non-HMO)",yes,yes,no,enrollment,yes,no,no,yes,bcbs,PA,Prime
J4613,"Amerind Risk",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
12504,"Ameriprise Auto & Home Insurance ",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1447,Amerisafe,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1206,"Amerisure Insurance",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1205,"Amerisure Mutual Insurance",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
47009,"Ameritas Life Insurance Corp",no,no,no,enrollment,no,no,no,no,commercial,,
J3735,"AmFed Companies LLC (Amfed National Insurance)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
64090,"AmFirst Insurance Company",yes,yes,no,enrollment,no,no,no,yes,commercial,,
C1098,"Amica Insurance Company",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
C1106,"Amica Insurance Company",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
12287,"Amica Mutual Insurance Company",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4098,"AMIkids, Inc. - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
ERA32,"Amplifon Hearing Health Care",no,no,no,enrollment,no,no,no,,commercial,,
ANAMY,"Anatomy - ERA Only",no,no,no,enrollment,no,no,no,,,,
53085,"Anchor Benefit Consulting Inc",yes,yes,no,no,no,no,no,yes,commercial,,
J4415,"Anchor Claims Management ",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1919,"Anchor Claims Management",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2136,"Anchor Glass Container Corporation",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
39856,"ANGLE INSURANCE COMPANY OF UTAH",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J1620,"Anheuser Busch",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2185,"Antelope Valley Union High School District",no,no,no,enrollment,no,yes,yes,no,workerscomp,,
J2197,"Antelope Vally Community Hospital",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
TELUS,"Anthem - Tellus EVV",no,enrollment,no,enrollment,no,no,no,,commercial,VA,
45302,"ANTHEM BLUE CROSS AND BLUE SHIELD HP",yes,yes,no,enrollment,no,no,no,yes,commercial,,
V0029,"ANTHEM EYEMED - OH MEDICAID",yes,yes,no,enrollment,no,no,no,yes,medicaid,OH,
00958,"Anthem Maine Health",yes,yes,no,enrollment,yes,yes,no,yes,,ME,Prime
A0029,"ANTHEM OHIO MEDICAID",yes,yes,no,enrollment,yes,no,no,yes,medicaid,OH,Prime
34196,"Apex Benefit Services",yes,yes,no,no,no,no,no,yes,commercial,,
J3788,"APM Terminals",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
APP01,"AppleCare Medical Management",yes,yes,yes,enrollment,no,no,no,yes,commercial,,
J2160,"Applied Materials",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2450,"Applied Risk Services",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1775,"Applied Underwriters",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2451,"Applied Underwriters Inc (CA Only)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4517,Apricus,yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
